epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3705,1.91904,2.16713,1.75079,0.03076,0.05018,0.01273,0.00354,3.10107,22.3891,3.72,0.00330827,0.00330827,0.0702256
2,136.46,1.98245,2.05108,1.78298,0.25565,0.26344,0.17684,0.06824,2.37418,3.27055,2.29554,0.00657585,0.00657585,0.0401598
3,201.603,1.94244,2.0306,1.79187,0.33027,0.24283,0.22016,0.07718,2.32136,2.77455,2.29375,0.00977743,0.00977743,0.0100281
4,268.064,1.8727,1.87081,1.7118,0.43017,0.39785,0.37585,0.14548,2.08952,3.41919,1.88588,0.009703,0.009703,0.009703
5,331.616,1.82283,1.79646,1.66024,0.47544,0.35573,0.36454,0.13732,2.09261,2.16833,1.87724,0.009604,0.009604,0.009604
6,395.735,1.8003,1.78377,1.64057,0.57087,0.45251,0.47213,0.16722,2.15698,2.41061,1.92654,0.009505,0.009505,0.009505
7,459.246,1.78349,1.76912,1.62493,0.6012,0.5,0.53362,0.2038,2.10223,1.83658,1.80302,0.009406,0.009406,0.009406
8,524.164,1.74523,1.68891,1.58329,0.63839,0.54659,0.58173,0.26314,1.82508,1.71852,1.61498,0.009307,0.009307,0.009307
9,586.645,1.71604,1.64416,1.56424,0.63103,0.45789,0.50889,0.21045,2.09892,1.67857,1.82117,0.009208,0.009208,0.009208
10,650.446,1.71953,1.64196,1.58633,0.65009,0.52688,0.58043,0.25621,1.86664,1.73547,1.68891,0.009109,0.009109,0.009109
11,716.967,1.7042,1.6208,1.54509,0.63157,0.47043,0.50707,0.20959,1.97971,1.87046,1.69268,0.00901,0.00901,0.00901
12,780.294,1.68962,1.60464,1.55634,0.64497,0.52419,0.55811,0.22392,1.99955,1.8797,1.7438,0.008911,0.008911,0.008911
13,842.387,1.69308,1.58245,1.55465,0.61662,0.51971,0.54506,0.23658,1.92496,1.78651,1.70437,0.008812,0.008812,0.008812
14,905.6,1.64996,1.55188,1.545,0.64213,0.55018,0.60313,0.29864,1.80076,1.41874,1.60794,0.008713,0.008713,0.008713
15,968.876,1.63945,1.53223,1.52012,0.70513,0.59409,0.66022,0.30426,1.79585,1.4682,1.59054,0.008614,0.008614,0.008614
16,1031.75,1.63676,1.52469,1.54078,0.63463,0.55735,0.58598,0.28066,1.79613,1.62343,1.63723,0.008515,0.008515,0.008515
17,1092.62,1.63726,1.50021,1.51964,0.71453,0.52867,0.61211,0.28211,1.86457,1.55487,1.69039,0.008416,0.008416,0.008416
18,1152.78,1.62482,1.49092,1.51174,0.68261,0.57623,0.63163,0.30289,1.76916,1.57499,1.57948,0.008317,0.008317,0.008317
19,1213.73,1.59523,1.45392,1.48951,0.67113,0.63889,0.67292,0.3232,1.77608,1.35127,1.5536,0.008218,0.008218,0.008218
20,1276.09,1.59123,1.44884,1.48487,0.66027,0.58423,0.62804,0.27546,1.97176,1.45624,1.69982,0.008119,0.008119,0.008119
21,1342.01,1.57845,1.40345,1.46896,0.68316,0.59588,0.63681,0.27304,1.93382,1.42159,1.64041,0.00802,0.00802,0.00802
22,1406.88,1.59386,1.43876,1.48257,0.72249,0.58244,0.66667,0.33376,1.72813,1.3395,1.54377,0.007921,0.007921,0.007921
23,1468.38,1.58966,1.41743,1.49317,0.67498,0.59921,0.64989,0.31375,1.75231,1.39471,1.55796,0.007822,0.007822,0.007822
24,1529.02,1.56578,1.39943,1.47189,0.76162,0.60125,0.67847,0.32973,1.79587,1.35823,1.58373,0.007723,0.007723,0.007723
25,1589.52,1.5557,1.38702,1.46552,0.69103,0.61022,0.66659,0.35338,1.65676,1.31102,1.49716,0.007624,0.007624,0.007624
26,1651.04,1.53731,1.36693,1.45618,0.70372,0.60394,0.66611,0.30281,1.85831,1.40082,1.58656,0.007525,0.007525,0.007525
27,1711.82,1.5411,1.39678,1.46327,0.73045,0.61111,0.69428,0.3428,1.74483,1.2798,1.52032,0.007426,0.007426,0.007426
28,1772.8,1.53654,1.34743,1.44425,0.74921,0.60125,0.70089,0.35557,1.69373,1.24634,1.51064,0.007327,0.007327,0.007327
29,1834.4,1.52113,1.35722,1.44136,0.69823,0.63172,0.678,0.36048,1.60991,1.3441,1.47662,0.007228,0.007228,0.007228
30,1897.65,1.52831,1.35365,1.44359,0.71719,0.6249,0.69012,0.35529,1.63036,1.3103,1.48083,0.007129,0.007129,0.007129
31,1960.86,1.51876,1.33887,1.44599,0.69178,0.61022,0.65961,0.34579,1.62776,1.44606,1.47282,0.00703,0.00703,0.00703
