epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4461,1.79408,2.03998,1.61669,0.27431,0.20187,0.16699,0.06469,2.30082,3.08395,2.31401,0.00165414,0.00165414,0.0685714
2,31.0825,1.82632,1.85574,1.64688,0.38577,0.30108,0.28247,0.11134,2.24318,2.52973,2.13438,0.00332049,0.00332049,0.0369044
3,44.5099,1.80881,1.79424,1.64912,0.34967,0.34946,0.269,0.08528,2.39868,2.2199,2.14974,0.00498557,0.00498557,0.00523619
4,58.2696,1.75461,1.67597,1.59496,0.44183,0.38172,0.35129,0.14882,2.04342,2.22806,1.84678,0.00499571,0.00499571,0.00499571
5,72.0287,1.71922,1.65353,1.57167,0.55354,0.46328,0.46265,0.16787,2.15928,2.02163,1.84624,0.00499237,0.00499237,0.00499237
6,86.1559,1.69954,1.60301,1.55867,0.56668,0.42473,0.4536,0.17947,2.10145,2.03599,1.80579,0.00498808,0.00498808,0.00498808
7,99.5698,1.67387,1.53051,1.52944,0.5042,0.36723,0.38069,0.14671,2.12321,2.27846,1.7876,0.00498284,0.00498284,0.00498284
8,113.236,1.67021,1.54681,1.52707,0.57501,0.4328,0.47745,0.20652,1.96611,1.84789,1.71465,0.00497666,0.00497666,0.00497666
9,126.593,1.61939,1.48399,1.49127,0.66075,0.56183,0.61415,0.26229,1.95114,1.47147,1.67652,0.00496953,0.00496953,0.00496953
10,139.871,1.60744,1.47155,1.47796,0.68939,0.51792,0.59679,0.26689,1.89423,1.533,1.61925,0.00496146,0.00496146,0.00496146
11,153.52,1.58425,1.42208,1.46171,0.6902,0.51075,0.60909,0.28436,1.81543,1.4645,1.57833,0.00495244,0.00495244,0.00495244
12,167.239,1.57497,1.38304,1.4416,0.6882,0.54391,0.60711,0.28069,1.80611,1.47944,1.57346,0.0049425,0.0049425,0.0049425
13,180.928,1.56157,1.37165,1.44269,0.7078,0.5672,0.64233,0.30115,1.87035,1.3711,1.6205,0.00493162,0.00493162,0.00493162
14,194.232,1.54626,1.37564,1.44303,0.71185,0.54233,0.63273,0.28635,1.88787,1.46523,1.59242,0.00491981,0.00491981,0.00491981
15,207.989,1.52718,1.33585,1.4242,0.70377,0.59319,0.66992,0.32983,1.74081,1.33677,1.52515,0.00490708,0.00490708,0.00490708
16,221.425,1.55724,1.35442,1.4424,0.61017,0.49228,0.53904,0.24379,1.94423,1.57391,1.67189,0.00489343,0.00489343,0.00489343
17,234.729,1.51212,1.30244,1.40251,0.60759,0.54122,0.56718,0.26111,1.87339,1.5065,1.64623,0.00487886,0.00487886,0.00487886
18,247.994,1.52886,1.29819,1.4179,0.69783,0.58065,0.65373,0.30837,1.83529,1.38891,1.57346,0.00486339,0.00486339,0.00486339
19,261.616,1.49473,1.26142,1.40315,0.66363,0.46141,0.53419,0.24468,1.89393,1.58482,1.622,0.00484702,0.00484702,0.00484702
20,275.431,1.50161,1.29072,1.41008,0.70787,0.60932,0.68608,0.33296,1.74286,1.40431,1.52179,0.00482976,0.00482976,0.00482976
21,288.972,1.48389,1.26979,1.40081,0.73177,0.62186,0.69518,0.34253,1.73188,1.3099,1.50346,0.0048116,0.0048116,0.0048116
22,302.594,1.4832,1.27325,1.40063,0.71219,0.60573,0.67794,0.3242,1.74345,1.28198,1.49115,0.00479257,0.00479257,0.00479257
23,315.886,1.48539,1.23546,1.38444,0.64048,0.55393,0.61202,0.29505,1.81146,1.40422,1.59895,0.00477265,0.00477265,0.00477265
24,329.466,1.49784,1.232,1.39426,0.70042,0.55914,0.63081,0.32605,1.67375,1.50848,1.47647,0.00475188,0.00475188,0.00475188
25,342.792,1.4662,1.20525,1.37749,0.71861,0.60412,0.67144,0.34102,1.75324,1.25843,1.51261,0.00473024,0.00473024,0.00473024
26,356.417,1.44564,1.18258,1.36193,0.73369,0.60482,0.68874,0.35682,1.70012,1.25176,1.461,0.00470776,0.00470776,0.00470776
27,369.979,1.452,1.19116,1.37865,0.753,0.61738,0.71484,0.3726,1.67561,1.20082,1.46246,0.00468443,0.00468443,0.00468443
28,383.369,1.44639,1.19674,1.37027,0.75714,0.6147,0.701,0.3467,1.74521,1.2488,1.50941,0.00466027,0.00466027,0.00466027
29,397.382,1.44566,1.18511,1.36379,0.62985,0.56183,0.60013,0.29483,1.82818,1.48807,1.56923,0.00463528,0.00463528,0.00463528
30,410.958,1.45722,1.17986,1.35942,0.75616,0.62522,0.71518,0.37494,1.64593,1.2208,1.46113,0.00460949,0.00460949,0.00460949
31,424.405,1.44073,1.16545,1.34453,0.76557,0.6129,0.69743,0.33134,1.80691,1.27054,1.52003,0.00458289,0.00458289,0.00458289
32,437.817,1.44039,1.1463,1.3453,0.77108,0.65502,0.73426,0.37465,1.70621,1.17108,1.47541,0.00455549,0.00455549,0.00455549
33,451.39,1.41952,1.14939,1.34919,0.73193,0.66791,0.7367,0.37468,1.67336,1.16968,1.4587,0.00452732,0.00452732,0.00452732
34,465.35,1.42468,1.14482,1.34269,0.72681,0.63888,0.71313,0.3637,1.71972,1.15023,1.48687,0.00449837,0.00449837,0.00449837
35,478.942,1.41679,1.13735,1.34968,0.75759,0.65323,0.71896,0.3591,1.71419,1.18068,1.48322,0.00446866,0.00446866,0.00446866
36,492.716,1.4175,1.12985,1.3386,0.74935,0.63441,0.7189,0.35303,1.72425,1.18046,1.47779,0.0044382,0.0044382,0.0044382
37,506.269,1.40933,1.11103,1.33931,0.72127,0.65323,0.71995,0.37604,1.62498,1.18721,1.42804,0.004407,0.004407,0.004407
38,519.581,1.39843,1.12502,1.34932,0.74259,0.64337,0.71288,0.38934,1.52013,1.2381,1.40274,0.00437508,0.00437508,0.00437508
39,533.113,1.38937,1.09265,1.32427,0.77277,0.64297,0.73437,0.37862,1.65912,1.16889,1.45553,0.00434245,0.00434245,0.00434245
40,546.439,1.39019,1.07773,1.33292,0.74855,0.66846,0.74072,0.40356,1.56528,1.13188,1.4181,0.00430911,0.00430911,0.00430911
41,560.026,1.36177,1.09341,1.3252,0.75919,0.67204,0.74797,0.36638,1.72419,1.10383,1.46612,0.00427509,0.00427509,0.00427509
42,573.744,1.36854,1.06388,1.32003,0.77984,0.66019,0.73894,0.40858,1.54141,1.09765,1.4032,0.00424039,0.00424039,0.00424039
43,587.053,1.37292,1.08657,1.31627,0.75446,0.67832,0.74805,0.39452,1.62001,1.12383,1.41637,0.00420503,0.00420503,0.00420503
44,600.4,1.3649,1.0644,1.31262,0.80624,0.6525,0.75646,0.39617,1.61159,1.07905,1.43349,0.00416902,0.00416902,0.00416902
45,613.879,1.35011,1.0725,1.31309,0.77985,0.63172,0.73226,0.43142,1.45726,1.11058,1.364,0.00413238,0.00413238,0.00413238
46,627.296,1.35939,1.0515,1.30642,0.76306,0.66948,0.74476,0.41357,1.50287,1.11213,1.36865,0.00409512,0.00409512,0.00409512
47,640.921,1.34997,1.06093,1.30226,0.75821,0.68843,0.74882,0.42149,1.51584,1.06777,1.39459,0.00405726,0.00405726,0.00405726
48,654.642,1.33839,1.04267,1.29173,0.77557,0.69265,0.76347,0.42786,1.4985,1.07248,1.3577,0.0040188,0.0040188,0.0040188
49,668.244,1.31583,1.03672,1.28276,0.7687,0.68792,0.76548,0.43374,1.4757,1.05156,1.36109,0.00397977,0.00397977,0.00397977
50,681.852,1.33788,1.03456,1.29829,0.7688,0.681,0.75774,0.41641,1.56472,1.04285,1.40951,0.00394018,0.00394018,0.00394018
